MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,3,70,11241,1,0,0,3,0,1,0,12,2,2,0,2,6,7,1970,1970,1,1,13,14,2,180,3,3,1,3,3,1,5,578,1,0,426,1004,1,5,1,4,1004,0,0,1004,1,0,1,0,2,1,3,5,6,1,3,2,1970,1,2,480,3,3,2,0,0,0,0,0,0,0,0,1,700,3,2010,8,4,149000
90,3,72,10791,1,0,3,3,0,4,0,19,2,2,2,2,4,5,1967,1967,1,1,8,8,0,0,3,3,3,0,0,0,0,0,0,0,0,0,1,3,1,4,1296,0,0,1296,0,0,2,0,2,2,3,6,6,0,0,5,1967,3,2,516,3,3,2,0,0,0,0,0,0,0,0,1,500,10,2006,8,4,90000
20,3,66,13695,1,0,3,3,0,4,0,20,5,2,0,2,5,5,2004,2004,1,1,12,13,0,0,3,3,2,3,3,1,6,646,1,0,468,1114,1,5,1,4,1114,0,0,1114,1,0,1,1,3,1,2,6,6,0,0,6,2004,3,2,576,3,3,2,0,102,0,0,0,0,0,0,0,0,6,2008,8,4,159000
20,3,70,7560,1,0,3,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,1,3,10,0,0,3,3,1,3,3,1,2,504,1,0,525,1029,1,3,1,4,1339,0,0,1339,0,0,1,0,3,1,3,6,2,0,0,2,1958,3,1,294,3,3,2,0,0,0,0,0,0,0,3,0,0,5,2009,0,0,139000
60,3,101,14215,1,0,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,1,12,13,2,380,4,3,2,5,3,3,1,0,1,0,1158,1158,1,5,1,4,1158,1218,0,2376,0,0,3,1,4,1,2,9,6,1,4,4,2005,2,3,853,3,3,2,240,154,0,0,0,0,0,0,0,0,11,2006,6,5,325300
45,4,57,7449,1,1,3,0,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,13,14,0,0,3,3,2,3,3,1,1,0,1,0,637,637,1,5,1,1,1108,0,0,1108,0,0,1,0,3,1,2,6,6,1,4,2,1930,3,1,280,3,3,0,0,0,205,0,0,0,0,4,0,0,6,2007,8,4,139400
20,3,75,9742,1,0,3,3,0,4,0,5,2,2,0,2,8,5,2002,2002,3,1,12,13,2,281,4,3,2,4,3,1,1,0,1,0,1777,1777,1,5,1,4,1795,0,0,1795,0,0,2,0,3,1,2,7,6,1,4,2,2002,2,2,534,3,3,2,171,159,0,0,0,0,0,0,0,0,9,2008,8,4,230000
120,4,44,4224,1,0,3,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,1,5,5,0,0,3,3,2,4,3,1,6,840,1,0,200,1040,1,3,1,4,1060,0,0,1060,1,0,1,0,3,1,3,6,6,1,3,2,1976,3,2,572,3,3,2,100,110,0,0,0,0,0,0,0,0,6,2007,8,4,129900
20,3,70,8246,1,0,0,3,0,4,0,19,2,2,0,2,5,8,1968,2001,1,1,9,10,0,0,3,4,1,3,3,2,3,188,5,668,204,1060,1,5,1,4,1060,0,0,1060,1,0,1,0,3,1,2,6,6,1,3,2,1968,3,1,270,3,3,2,406,90,0,0,0,0,0,3,0,0,5,2010,8,4,154000
20,3,110,14230,1,0,3,3,0,0,0,16,2,2,0,2,8,5,2007,2007,1,1,12,13,3,640,4,3,2,4,3,1,1,0,1,0,1566,1566,1,5,1,4,1600,0,0,1600,0,0,2,0,3,1,2,7,6,1,4,2,2007,2,3,890,3,3,2,0,56,0,0,0,0,0,0,0,0,7,2009,8,4,256300
20,3,60,7200,1,0,3,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,1,13,14,0,0,3,3,1,3,3,2,4,234,3,486,180,900,1,3,1,4,900,0,0,900,0,1,1,0,3,1,2,5,6,0,0,6,2005,3,2,576,3,3,2,222,32,0,0,0,0,0,0,0,0,5,2010,8,4,134800
20,3,98,11478,1,0,3,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,1,12,13,3,200,4,3,2,5,3,1,6,1218,1,0,486,1704,1,5,1,4,1704,0,0,1704,1,0,2,0,3,1,2,7,6,1,4,2,2008,2,3,772,3,3,2,0,50,0,0,0,0,0,0,0,0,5,2010,8,4,306000
20,3,47,16321,1,0,0,3,0,1,0,12,2,2,0,2,5,6,1957,1997,1,1,8,8,0,0,3,3,1,3,3,4,4,1277,1,0,207,1484,1,3,1,4,1600,0,0,1600,1,0,1,0,2,1,3,6,6,2,4,2,1957,2,1,319,3,3,2,288,258,0,0,0,0,0,0,0,0,12,2006,8,4,207500
30,4,60,6324,1,0,0,3,0,4,0,3,1,7,0,2,4,6,1927,1950,1,1,8,8,0,0,3,3,0,3,3,1,1,0,1,0,520,520,1,2,0,4,520,0,0,520,0,0,1,0,1,1,1,4,6,0,0,6,1920,3,1,240,2,3,2,49,0,87,0,0,0,0,0,0,0,5,2008,8,4,68500
70,0,50,8500,1,2,3,3,0,4,0,9,1,2,0,5,4,4,1920,1950,2,1,3,3,0,0,3,2,0,3,3,1,1,0,1,0,649,649,1,3,0,4,649,668,0,1317,0,0,1,0,3,1,3,6,6,0,0,6,1920,3,1,250,3,2,0,0,54,172,0,0,0,0,3,0,0,7,2008,8,4,40000
20,3,70,8544,1,0,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,1,6,6,0,0,3,3,1,3,3,1,1,0,1,0,1228,1228,1,4,1,4,1228,0,0,1228,0,0,1,1,3,1,2,6,6,0,0,2,1966,3,1,271,3,3,2,0,65,0,0,0,0,0,3,0,0,6,2008,8,4,149350
20,3,85,11049,1,0,3,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,1,12,13,0,0,4,3,2,5,3,3,1,0,1,0,1234,1234,1,5,1,4,1234,0,0,1234,0,0,2,0,3,1,2,7,6,0,0,2,2007,2,2,484,3,3,2,0,30,0,0,0,0,0,0,0,0,1,2008,8,4,179900
20,3,70,10552,1,0,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,1,3,3,0,0,3,3,1,3,3,1,3,1018,1,0,380,1398,1,4,1,4,1700,0,0,1700,0,1,1,1,4,1,2,6,6,1,4,2,1959,2,2,447,3,3,2,0,38,0,0,0,0,0,0,0,0,4,2010,8,4,165500
120,3,60,7313,1,0,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,2,246,5,3,2,5,3,1,6,1153,1,0,408,1561,1,5,1,4,1561,0,0,1561,1,0,2,0,2,1,0,6,6,1,4,2,2005,1,2,556,3,3,2,203,47,0,0,0,0,0,0,0,0,8,2007,8,4,277500
60,3,108,13418,1,0,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,3,132,4,3,2,5,3,3,1,0,1,0,1117,1117,1,5,1,4,1132,1320,0,2452,0,0,3,1,4,1,2,9,6,1,4,4,2004,1,3,691,3,3,2,113,32,0,0,0,0,0,0,0,0,9,2006,8,4,309000
20,3,112,10859,1,0,3,3,0,0,0,5,2,2,0,2,5,5,1994,1995,1,1,12,13,0,0,3,3,2,4,3,1,1,0,1,0,1097,1097,1,5,1,4,1097,0,0,1097,0,0,1,1,3,1,3,6,6,0,0,2,1995,3,2,672,3,3,2,392,64,0,0,0,0,0,0,0,0,6,2009,8,4,145000
20,3,74,8532,1,0,3,3,0,4,0,12,2,2,0,2,5,6,1954,1990,3,1,13,14,2,650,3,3,1,3,3,1,3,1213,1,0,84,1297,1,4,1,4,1297,0,0,1297,0,1,1,0,3,1,3,5,6,1,3,2,1954,1,2,498,3,3,2,0,0,0,0,0,0,0,0,0,0,10,2009,8,4,153000
20,3,68,7922,1,0,3,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,1,12,13,0,0,3,4,1,3,3,1,6,731,1,0,326,1057,1,3,1,4,1057,0,0,1057,1,0,1,0,3,1,2,5,6,0,0,6,1953,3,1,246,3,3,2,0,52,0,0,0,0,0,0,0,0,1,2010,8,0,109000
90,3,65,6040,1,0,3,3,0,4,0,7,2,2,2,2,4,5,1955,1955,1,1,0,10,0,0,3,3,2,0,0,0,0,0,0,0,0,0,1,3,0,2,1152,0,0,1152,0,0,2,0,2,2,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2008,8,1,82000
20,3,84,8658,1,0,3,3,0,4,0,12,2,2,0,2,6,5,1965,1965,1,1,13,14,2,101,3,3,1,3,3,1,3,643,1,0,445,1088,1,5,1,4,1324,0,0,1324,0,0,2,0,3,1,3,6,6,1,3,2,1965,2,2,440,3,3,2,0,138,0,0,0,0,0,2,0,0,12,2006,8,0,160000
20,3,115,16905,1,0,3,3,0,4,0,23,2,2,0,2,5,6,1959,1959,1,1,12,13,0,0,3,4,1,3,3,4,4,967,1,0,383,1350,1,4,1,4,1328,0,0,1328,0,1,1,1,2,1,3,5,6,2,4,2,1959,2,1,308,3,3,1,0,104,0,0,0,0,0,0,0,0,7,2007,8,4,170000
85,3,70,9180,1,0,0,3,0,1,0,20,2,2,0,6,5,7,1983,1983,1,1,6,6,0,0,3,3,1,4,3,3,5,747,2,93,0,840,1,4,1,4,884,0,0,884,1,0,1,0,2,1,2,5,6,0,0,2,1983,2,2,504,3,4,2,240,0,0,0,0,0,0,3,0,0,12,2007,8,4,144000
20,3,70,9200,1,0,0,3,0,1,0,5,2,2,0,2,5,6,1975,1980,3,1,12,13,0,0,3,3,1,4,3,3,2,280,4,491,167,938,1,3,1,4,938,0,0,938,1,0,1,0,3,1,3,5,6,0,0,6,1977,3,1,308,3,3,2,145,0,0,0,0,0,0,3,0,0,7,2008,8,4,130250
20,3,70,7945,1,0,3,3,0,4,0,12,2,2,0,2,5,6,1959,1959,1,1,3,14,0,0,3,3,1,3,3,1,5,179,4,506,465,1150,1,5,1,0,1150,0,0,1150,1,0,1,0,3,1,3,6,6,0,0,2,1959,2,1,300,3,3,2,0,0,0,0,0,0,0,0,0,0,5,2006,8,4,141000
120,3,61,7658,1,0,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,2,412,5,3,2,5,3,1,6,456,1,0,1296,1752,1,5,1,4,1752,0,0,1752,1,0,2,0,2,1,0,6,6,1,4,2,2005,2,2,576,3,3,2,196,82,0,0,0,0,0,0,0,0,2,2010,8,4,319900
50,3,48,12822,1,0,0,3,0,1,0,11,2,2,0,0,7,5,2003,2003,1,1,12,13,0,0,4,3,2,5,3,1,6,1351,1,0,83,1434,1,5,1,4,1518,631,0,2149,1,0,1,1,1,1,2,6,6,1,5,2,2003,2,2,670,3,3,2,168,43,0,0,198,0,0,0,0,0,8,2009,8,0,239686
20,1,84,11096,1,0,3,3,0,4,0,21,2,2,0,2,8,5,2006,2006,1,1,12,13,0,0,4,3,2,4,3,3,6,24,1,0,1632,1656,1,5,1,4,1656,0,0,1656,0,0,2,0,3,1,2,7,6,0,0,2,2006,2,3,826,3,3,2,0,146,0,0,0,0,0,0,0,0,7,2007,8,4,249700
190,4,33,4456,1,0,3,3,0,4,0,17,2,2,1,5,4,5,1920,2008,1,1,8,8,0,0,3,3,0,3,3,1,1,0,1,0,736,736,1,4,1,4,736,716,0,1452,0,0,2,0,2,3,3,8,6,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,6,2009,6,5,113000
20,3,66,7742,1,0,3,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,1,6,6,0,0,3,3,1,3,3,1,4,763,1,0,192,955,1,5,1,4,955,0,0,955,1,0,1,0,3,1,3,6,6,0,0,2,1966,3,1,386,3,3,2,0,0,0,0,0,0,0,3,0,0,1,2007,8,4,127000
60,3,70,13869,1,0,1,3,0,0,0,8,2,2,0,5,6,6,1997,1997,1,1,12,13,0,0,3,3,2,4,3,3,6,182,1,0,612,794,1,4,1,4,794,676,0,1470,0,1,2,0,3,1,3,6,6,0,0,2,1997,1,2,388,3,3,2,0,75,0,0,0,0,0,0,0,0,7,2007,8,4,177000
50,4,52,6240,1,0,3,3,0,4,0,3,2,2,0,0,6,6,1934,1950,1,1,13,14,0,0,3,3,2,3,3,1,1,0,1,0,816,816,1,3,1,4,816,0,360,1176,0,0,1,0,3,1,3,6,6,1,4,6,1985,3,2,528,3,3,2,112,0,0,0,0,0,0,3,1,400,9,2006,8,4,114500
90,4,110,8472,0,0,1,0,0,0,1,9,8,2,2,2,5,5,1963,1963,1,1,13,14,0,0,2,3,1,4,3,4,2,104,6,712,0,816,1,3,0,4,816,0,0,816,1,0,1,0,2,1,3,5,6,0,0,5,1963,3,2,516,3,3,2,106,0,0,0,0,0,0,0,0,0,5,2010,8,4,110000
20,3,68,50271,1,0,0,2,0,4,0,24,2,2,0,2,9,5,1981,1987,1,7,14,15,0,0,4,3,1,5,3,4,6,1810,1,0,32,1842,1,4,1,4,1842,0,0,1842,2,0,0,1,0,1,2,5,6,1,4,2,1981,1,3,894,3,3,2,857,72,0,0,0,0,0,0,0,0,11,2006,8,4,385000
80,3,60,7134,1,0,3,0,0,4,1,12,2,2,0,7,5,5,1955,1955,1,1,8,8,0,0,3,3,1,3,3,1,5,384,1,0,0,384,1,3,1,4,1360,0,0,1360,0,0,1,0,3,1,3,6,2,1,3,6,1962,3,2,572,3,3,2,0,50,0,0,0,0,0,3,0,0,2,2007,8,4,130000
20,3,100,10175,1,0,0,3,0,4,0,12,2,2,0,2,6,5,1964,1964,1,1,6,10,2,272,3,3,1,3,3,1,4,490,1,0,935,1425,1,4,1,4,1425,0,0,1425,0,0,2,0,3,1,3,7,6,1,4,2,1964,2,2,576,3,3,2,0,0,0,407,0,0,0,0,0,0,7,2008,8,4,180500
160,1,24,2645,1,2,3,3,0,4,0,21,2,2,3,5,8,5,1999,2000,1,1,8,8,2,456,4,3,2,4,3,1,6,649,1,0,321,970,1,5,1,4,983,756,0,1739,1,0,2,1,3,1,2,7,6,0,0,2,1999,1,2,480,3,3,2,115,0,0,0,0,0,0,0,0,0,8,2009,8,0,172500
60,3,89,11645,1,0,0,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,1,12,13,0,0,4,3,2,4,3,1,1,0,1,0,860,860,1,5,1,4,860,860,0,1720,0,0,2,1,3,1,2,7,6,0,0,2,2004,2,2,565,3,3,2,0,70,0,0,0,0,0,0,0,0,8,2006,8,4,196500
60,3,66,13682,1,0,1,1,0,1,0,22,2,2,0,5,10,5,2006,2006,3,1,12,13,2,1031,5,3,2,5,3,4,1,0,1,0,1410,1410,1,5,1,4,1426,1519,0,2945,0,0,3,1,3,1,2,10,6,1,4,4,2006,1,3,641,3,3,2,192,0,37,0,0,0,0,0,0,0,10,2006,6,5,438780
20,3,60,7200,1,0,3,0,0,4,0,5,2,2,0,2,5,7,1972,1972,1,1,6,6,0,0,3,3,1,3,3,3,5,632,1,0,148,780,1,5,1,4,780,0,0,780,0,0,1,0,2,1,3,4,6,0,0,6,1973,3,1,352,3,3,2,196,0,0,0,0,0,0,3,0,0,1,2008,8,4,124900
20,3,63,13072,1,0,3,3,0,4,0,20,5,2,0,2,6,5,2004,2004,1,1,12,13,0,0,3,3,2,4,3,1,5,941,1,0,217,1158,1,5,1,4,1158,0,0,1158,1,0,1,1,3,1,2,5,6,0,0,6,2006,3,2,576,3,3,2,0,50,0,0,0,0,0,0,0,0,5,2006,6,5,158000
75,4,60,7200,1,0,3,3,0,4,0,9,2,2,0,4,5,7,1920,1996,1,1,8,8,0,0,3,3,0,3,2,1,1,0,1,0,530,530,1,3,0,4,581,530,0,1111,0,0,1,0,3,1,1,6,6,0,0,6,1935,3,1,288,3,3,0,0,0,144,0,0,0,0,0,0,0,3,2007,8,4,101000
120,3,44,6442,1,0,0,3,0,4,0,16,2,2,4,2,8,5,2006,2006,1,1,12,13,3,178,4,3,2,4,4,2,6,24,1,0,1346,1370,1,5,1,4,1370,0,0,1370,0,0,2,0,2,1,2,6,6,1,4,2,2006,2,2,484,3,3,2,120,49,0,0,0,0,0,0,0,0,10,2007,8,4,202500
70,4,50,10300,1,0,0,0,0,4,0,17,6,1,0,5,7,6,1921,1950,1,1,11,12,0,0,3,3,0,3,3,1,1,0,1,0,576,576,1,4,1,4,902,808,0,1710,0,0,2,0,3,1,3,9,6,0,0,6,1990,3,2,480,3,3,2,12,11,64,0,0,0,0,4,0,0,4,2010,8,4,140000
60,3,70,9375,1,0,3,3,0,4,0,5,2,2,0,5,7,5,1997,1998,1,1,12,13,2,573,3,3,2,4,3,1,6,739,1,0,318,1057,1,5,1,4,1057,977,0,2034,1,0,2,1,3,1,2,8,6,0,0,2,1998,2,2,645,3,3,2,576,36,0,0,0,0,0,4,0,0,2,2009,8,4,219500
60,3,76,9591,1,0,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,2,344,4,3,2,5,3,3,1,0,1,0,1143,1143,1,5,1,4,1143,1330,0,2473,0,0,2,1,4,1,2,9,6,1,4,4,2004,2,3,852,3,3,2,192,151,0,0,0,0,0,0,0,0,10,2007,8,4,317000
20,3,70,19900,1,0,3,3,0,4,0,12,3,2,0,2,7,5,1970,1989,1,1,9,10,2,287,3,3,1,4,3,4,6,912,1,0,1035,1947,1,3,1,4,2207,0,0,2207,1,0,2,0,3,1,3,7,2,1,4,2,1970,2,2,576,3,3,2,301,0,0,0,0,0,0,0,0,0,7,2010,8,4,180000
20,3,72,10665,1,0,0,3,0,4,0,5,2,2,0,2,7,5,2003,2003,1,1,12,13,2,167,4,3,2,4,3,3,6,1013,1,0,440,1453,1,5,1,4,1479,0,0,1479,1,0,2,0,3,1,2,7,6,0,0,2,2003,2,2,558,3,3,2,144,29,0,0,0,0,0,0,0,0,6,2007,8,4,226000
30,4,47,4608,1,0,3,3,0,0,0,17,0,2,0,2,4,6,1945,1950,1,1,8,8,0,0,3,4,1,3,3,1,1,0,1,0,747,747,1,3,1,4,747,0,0,747,0,0,1,0,2,1,3,4,6,0,0,2,1945,3,1,220,3,3,2,0,0,0,0,0,0,0,0,0,0,6,2010,8,4,80000
50,3,81,15593,1,0,3,3,0,0,0,4,2,2,0,0,7,4,1953,1953,1,1,3,0,0,0,4,3,1,3,3,1,4,603,1,0,701,1304,2,3,1,4,1304,983,0,2287,0,0,2,0,3,1,3,7,6,1,3,2,1953,1,2,667,3,3,2,0,21,114,0,0,0,0,0,0,0,7,2006,8,4,225000
20,3,95,13651,1,0,0,3,0,4,0,12,2,2,0,2,7,6,1973,1973,1,1,9,10,2,1115,3,4,1,4,3,4,5,1880,1,0,343,2223,1,5,1,4,2223,0,0,2223,1,0,2,0,3,1,3,8,6,2,4,2,1973,1,2,516,3,3,2,300,0,0,0,0,0,0,0,0,0,2,2007,8,4,244000
20,3,69,7599,1,0,3,3,0,0,0,11,2,2,0,2,4,6,1982,2006,1,1,6,10,0,0,3,3,1,3,3,1,5,565,1,0,280,845,1,3,1,4,845,0,0,845,1,0,1,0,2,1,3,4,6,0,0,6,1987,3,2,360,3,3,2,0,0,0,0,0,0,0,0,0,0,6,2007,8,4,129500
60,3,74,10141,1,0,0,3,0,0,0,8,2,2,0,5,7,5,1998,1998,1,1,12,13,2,40,3,3,2,4,3,1,1,0,1,0,832,832,1,4,1,4,885,833,0,1718,0,0,2,1,3,1,3,7,6,1,3,2,1998,1,2,427,3,3,2,0,94,0,0,291,0,0,0,0,0,12,2009,8,4,185000
20,3,85,10200,1,0,3,3,0,4,0,12,2,2,0,2,5,7,1954,2003,1,1,13,14,2,104,3,3,1,3,3,1,5,320,4,362,404,1086,1,4,1,4,1086,0,0,1086,1,0,1,0,3,1,3,6,6,0,0,2,1989,3,2,490,3,3,2,0,0,0,0,0,0,0,2,0,0,5,2010,8,4,144900
50,4,60,5790,1,0,3,3,0,0,0,17,2,2,0,5,3,6,1915,1950,2,1,12,13,0,0,4,4,1,2,3,1,1,0,1,0,840,840,1,4,0,4,840,765,0,1605,0,0,2,0,3,2,3,8,6,0,0,6,1915,3,1,379,3,3,2,0,0,202,0,0,0,0,0,0,0,5,2010,8,4,107400
180,4,21,1596,1,0,3,3,0,4,0,10,2,2,3,7,4,5,1973,1973,1,1,5,5,0,0,3,3,1,4,3,4,6,462,1,0,0,462,1,3,1,4,526,462,0,988,1,0,1,0,2,1,3,5,6,0,0,4,1973,3,1,297,3,3,2,120,101,0,0,0,0,0,2,0,0,11,2009,8,4,91000
